instancia,jobs,maquinas,operaciones,makespan_mejor,makespan_promedio,tiempo_total_s
la01.txt,10,5,50,574,578.4,6.64
la06.txt,15,5,75,806,808.0,17.73
la11.txt,20,5,100,1073,1074.0,35.53
la16.txt,10,10,100,717,717.0,27.97
la21.txt,15,10,150,861,878.2,70.77
